id;type d'unit�;description;photo;cycliste;fonction 1;fonction 2;taille;diam�tre;unit�s du diam�tre;longueur;unit�s de  longueur;largeur;unit�s de largeur;hauteur;unit�s de hauteur;nombre de dents;nombre de trous;diam�tre du pivot;unit�s diam�tre du pivot;diam�tre du cintre;unit� diam�tre du cintre;longueur d'axe;unit� longueur d'axe;poids;unit�s poids;mati�re;vitesses;compatibilit�;marque;prix;mod�le;mode d'emploi;URL;;;;;;;;;
ref0048;�trier;;;;freinage;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ref0049;patin;;;;freinage;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ref0050;c�ble frein;;http://www.decathlon.fr/media/804/8043614/hd_4a17f3dc8b2e4e13a2ed919cd7f3a736.jpg;;freinage;;;1,5;mm;2;m;;;;;;;;;;;;;;;acier;;;B'TWIN;3,95 ?;;;http://www.decathlon.fr/cable-frein-vtt-id_8043614.html;;;;;;;;;
ref0051;frein arri�re;Frein arri�re V brake.;http://winor-xlc.elfriede.eikona-server.de/bild.php?src=portal/artikeldatenbank/pics/bremsen/2500306500.jpg&new_max_width=476&new_max_height=320;;freinage;;;;;;;;;;;;;;;;;;;;;aluminium;;;XLC;;BMX U-BRAKE BR-U01 ;;http://www.xlc-parts.com/produkte_detail_fr,1627,1456,detail.html;;;;;;;;;
ref0052;cintre;;;;direction;;;;;;;;;;;;;;;;;;;;;;;;Promax;;HBT-319 Nero;;;;;;;;;;;
ref0053;poign�e de guidon;;;;direction;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ref0054;potence;;http://ciclesradar.com.br/images/products///487988_1.jpg;;direction;;;25,4;mm;70;mm;;;;;;;;;;;;;222;g;aluminium;;;Promax;40,00 ?;MA45;;http://ciclesradar.com.br/mesas-guidao-promax-graus-p-3260.html;;;;;;;;;
ref0055;selle;Selle sp�cialement con�ue pour les femmes. Tr�s confortable.;http://images.deporvillage.com/media/catalog/product/cache/2/image/9df78eab33525d08d6e5fb8d27136e95/R/Y/RY-SRPR5.jpg;;p�riph�rique;;;;;254;mm;183;mm;;;;;;;;;;;635;g;;;;Selle Royal;44,90 ?;Wave (woman);manuel;http://www.selleroyal.com/en/comfort/wave-woman;;;;;;;;;
ref0056;tige de selle;;http://cdn.bicyclehero.com/catalog/product/cache/26/small_image/295x295/c96a280f94e22e3ee3823dd0a1a87606/s/p/sp4808.jpg;;cadre;;;27,2;mm;400;mm;;;;;;;;;;;;;295;g;aluminium;;;Promax;29,99 ?;SP-1 ;;http://www.promaxcomponents.com/product/sp-1-seatpost/;;;;;;;;;
ref0057;jante;;;;roue;;;28;pouces;;;;;;;;;;;;;;;;;aluminium;;;;;;;;;;;;;;;;
ref0058;moyeu avant;;;;roue;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ref0059;moyeu arri�re;;;;roue;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ref0060;rayons;;;;roue;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ref0061;pneu;;http://www.lecyclo.com/components/com_virtuemart/shop_image/product/pneu-michelin-protek-reflex-700-x-40c_full.jpg;;roue;;;28;pouces;;;;;;;;;;;;;;;;;;;;Michelin;15,99 ?;City Proteck Reflex;;http://www.lecyclo.com/velo/roue-pneu/pneu-velo/pneu-michelin/pneu-michelin-protek-reflex-700-x-40c.html;;;;;;;;;
ref0062;d�railleur avant;;http://cdn.modernbike.com/256/main_2126225643.jpg;;transmission;;;28,6;mm;;;;;;;;;;;;;;;;;;6 � 7 vitesses;cha�ne 2,30mm de largeur;Shimano;10,60 ?;Tourney FD-TX50;;http://www.modernbike.com/shimano-tourney-tx51-6-7-speed-triple-top-swing-dual-pull-front-derailleur;;;;;;;;;
ref0063;chape de d�railleur;;;;transmission;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ref0064;galet de d�railleur;;;;transmission;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ref0065;patte de d�railleur;;;;transmission;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ref0066;c�ble de d�railleur;;;;transmission;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ref0067;d�railleur arri�re;;http://media1.rosebikes.de/product/1850/1/9/1950331_1.9axdldg1v6.jpg;;transmission;;;;;;;;;;;;;;;;;;;306;g;;6 � 7 vitesses;;Shimano;15,13 ?;Acera RD-M360-SGS;;http://www.rosebikes.fr/article/shimano-acera-rd-m360-sgs-derailleur-arriere/aid:287951;;;;;;;;;
ref0068;commandes;Levier de freinage et de changement de vitesses.;http://bike.shimano.com/content/dam/shimanoweb/bike/sac-bike/en/products/st-ef65/carousel-images/ST-EF65-9R-L_940x400_v1_m56577569830912686.png.swimg.detail.png;;transmission;freinage;;;;;;;;;;;;;;;;;;;;;;cassette 6/7/8 vitesses SIS, freins HRB et V brake;Shimano;21,99 ?;ST-EF65;mode d'emploi;http://bike.shimano.com/content/sac-bike/en/home/mtb1/shifting---braking/dual-control-levers/st-ef65.html;;;;;;;;;
ref0069;p�dalier;;http://www.bikeman.com/store/graphics/00000001/product_images/CK/CK7521.jpg;;transmission;;;;;;;;;;;48/38/28 dents;;;;;;;;;;;;cha�ne 2,30mm de largeur;Shimano;;TX FC-M131;;http://www.bikeman.com/CK7521.html;;;;;;;;;
ref0070;boitier de p�dalier;;;;transmission;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ref0071;manivelle;;;;transmission;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ref0072;plateau;;;;transmission;;;;;;;;;;;48 dents;;;;;;;;;;;;;;;;;;;;;;;;;;
ref0073;plateau;;;;transmission;;;;;;;;;;;38 dents;;;;;;;;;;;;;;;;;;;;;;;;;;
ref0074;plateau;;;;transmission;;;;;;;;;;;28 dents;;;;;;;;;;;;;;;;;;;;;;;;;;
ref0075;p�dale;;;;transmission;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ref0076;cassette;;http://media1.rosebikes.de/product/370/1/7/1775660_1.jpg;;transmission;;;;;;;;;;;;;;;;;;;320;g;acier;;Sram et Shimano;Shimano;8,99 ?;HG31;;http://www.alltricks.fr/cassettes/cassettes/shimano-cassette-hg31-8-vitesses--1817-218943.html;;;;;;;;;
ref0077;cha�ne;;;;transmission;;;;;;;2,3;mm;;;;;;;;;7,2;mm;;;;;;Shimano;;HG20;;;;;;;;;;;
ref0078;jeu de direction;;;;direction;;;;;;;;;;;;;;;;;;;;;;;;RMS;;;;;;;;;;;;;
